id,name,start_date,end_date,party,partyLabel,constituency,constituencyLabel,election
Q271279,Åslaug Haga,2001-10-01,,Q493685,Senterpartiet,,,Q1575198
Q6308082,Julie Christiansen,2001-10-01,,Q586364,Høyre,,,Q1575198
Q209611,Thorbjørn Jagland,2001-10-01,,Q190219,Arbeiderpartiet,,,Q1575198
Q6981465,Trond Helleland,2001-10-01,,Q586364,Høyre,,,Q1575198
Q6514199,Ulf Erik Knudsen,2001-10-01,,Q485665,Fremskrittspartiet,,,Q1575198
Q7513162,Sigrun Eng,2001-10-01,,Q190219,Arbeiderpartiet,,,Q1575198
Q6514554,Magnar Lund Bergo,2001-10-01,,Q488418,Sosialistisk Venstreparti,,,Q1575198
Q4877033,Beate Heieren Hundhammer,2001-10-01,,Q586364,Høyre,,,Q1575198
Q5450646,Finn Kristian Marthinsen,2001-10-01,,Q1166025,Kristelig Folkeparti,,,Q1575198
Q1350164,Karl Eirik Schjøtt-Pedersen,2001-10-01,,Q190219,Arbeiderpartiet,,,Q1575198
Q6516073,Olav Gunnar Ballo,2001-10-01,,Q488418,Sosialistisk Venstreparti,,,Q1575198
Q7299108,Raymond Robertsen,2001-10-01,,Q586364,Høyre,,,Q1575198
Q5415113,Eva M. Nielsen,2001-10-01,,Q190219,Arbeiderpartiet,,,Q1575198
Q543152,Sylvia Brustad,2001-10-01,,Q190219,Arbeiderpartiet,,,Q1575198
Q5349868,Eirin Faldet,2001-10-01,,Q190219,Arbeiderpartiet,,,Q1575198
Q6370820,Karin Andersen,2001-10-01,,Q488418,Sosialistisk Venstreparti,,,Q1575198
Q11961367,Bjørn Hernæs,2001-10-01,,Q586364,Høyre,,,Q1575198
Q6515122,Per Roar Bredvold,2001-10-01,,Q485665,Fremskrittspartiet,,,Q1575198
Q1343717,Knut Storberget,2001-10-01,,Q190219,Arbeiderpartiet,,,Q1575198
Q7082844,Ola D. Gløtvold,2001-10-01,,Q493685,Senterpartiet,,,Q1575198
Q12011654,Åse Wisløff Nilssen,2001-10-01,,Q1166025,Kristelig Folkeparti,,,Q1575198
Q7077553,Oddvard Nilsen,2001-10-01,,Q586364,Høyre,,,Q1575198
Q7293625,Ranveig Frøiland,2001-10-01,,Q190219,Arbeiderpartiet,,,Q1575198
Q4794675,Arne Sortevik,2001-10-01,,Q485665,Fremskrittspartiet,,,Q1575198
Q6032116,Ingebrigt S. Sørfonn,2001-10-01,,Q1166025,Kristelig Folkeparti,,,Q1575198
Q270841,Ågot Valle,2001-10-01,,Q488418,Sosialistisk Venstreparti,,,Q1575198
Q291644,Erna Solberg,2001-10-01,,Q586364,Høyre,,,Q1575198
Q1771608,Olav Akselsen,2001-10-01,,Q190219,Arbeiderpartiet,,,Q1575198
Q1771881,Gjermund Hagesæter,2001-10-01,,Q485665,Fremskrittspartiet,,,Q1575198
Q4765498,Anita Apelthun Sæle,2001-10-01,,Q1166025,Kristelig Folkeparti,,,Q1575198
Q6515779,Øyvind Halleraker,2001-10-01,,Q586364,Høyre,,,Q1575198
Q11983604,Leif Lund,2001-10-01,,Q190219,Arbeiderpartiet,,,Q1575198
Q204370,Audun Lysbakken,2001-10-01,,Q488418,Sosialistisk Venstreparti,,,Q1575198
Q492635,Lars Sponheim,2001-10-01,,Q500190,Venstre,,,Q1575198
